Date : 2025-11-27 12:19:38
Directory : d:\code\math-content-recognition-
Total : 69 files,  16296 codes, 862 comments, 1253 blanks, all 18411 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| d:\code\math-content-recognition-\texteller\cli\commands\inference.py                           | Python           |         93 |          4 |          7 |        104 |
| d:\code\math-content-recognition-\texteller\cli\commands\launch\__init__.py                     | Python           |         93 |          2 |          7 |        102 |
| d:\code\math-content-recognition-\texteller\cli\commands\launch\server.py                       | Python           |         93 |          5 |         11 |        109 |
| d:\code\math-content-recognition-\texteller\cli\commands\web\__init__.py                        | Python           |          6 |          1 |          3 |         10 |
| d:\code\math-content-recognition-\texteller\cli\commands\web\streamlit_demo.py                  | Python           |        194 |          9 |         49 |        252 |
| d:\code\math-content-recognition-\texteller\cli\commands\web\style.py                           | Python           |         49 |          0 |          7 |         56 |
| d:\code\math-content-recognition-\texteller\constants.py                                        | Python           |         19 |          7 |          8 |         34 |
| d:\code\math-content-recognition-\texteller\globals.py                                          | Python           |         17 |         18 |          7 |         42 |
| d:\code\math-content-recognition-\texteller\logger.py                                           | Python           |         55 |         23 |         19 |         97 |
| d:\code\math-content-recognition-\texteller\models\__init__.py                                  | Python           |          2 |          0 |          2 |          4 |
| d:\code\math-content-recognition-\texteller\models\texteller.py                                 | Python           |         40 |          0 |          8 |         48 |
| d:\code\math-content-recognition-\texteller\paddleocr\CTCLabelDecode.py                         | Python           |        166 |         17 |         30 |        213 |
| d:\code\math-content-recognition-\texteller\paddleocr\DBPostProcess.py                          | Python           |        169 |         17 |         36 |        222 |
| d:\code\math-content-recognition-\texteller\paddleocr\operators.py                              | Python           |        143 |         13 |         31 |        187 |
| d:\code\math-content-recognition-\texteller\paddleocr\predict_det.py                            | Python           |        234 |         17 |         27 |        278 |
| d:\code\math-content-recognition-\texteller\paddleocr\predict_rec.py                            | Python           |        315 |         20 |         45 |        380 |
| d:\code\math-content-recognition-\texteller\paddleocr\utility.py                                | Python           |        490 |        104 |         96 |        690 |
| d:\code\math-content-recognition-\texteller\types\__init__.py                                   | Python           |          6 |          0 |          7 |         13 |
| d:\code\math-content-recognition-\texteller\types\bbox.py                                       | Python           |         42 |          3 |         12 |         57 |
| d:\code\math-content-recognition-\texteller\utils\__init__.py                                   | Python           |         29 |          0 |          2 |         31 |
| d:\code\math-content-recognition-\texteller\utils\bbox.py                                       | Python           |        114 |          4 |         23 |        141 |
| d:\code\math-content-recognition-\texteller\utils\device.py                                     | Python           |         22 |         10 |         10 |         42 |
| d:\code\math-content-recognition-\texteller\utils\image.py                                      | Python           |         82 |         15 |         25 |        122 |
| d:\code\math-content-recognition-\texteller\utils\latex.py                                      | Python           |         53 |         39 |         24 |        116 |
| d:\code\math-content-recognition-\texteller\utils\misc.py                                       | Python           |          3 |          0 |          3 |          6 |
| d:\code\math-content-recognition-\texteller\utils\path.py                                       | Python           |         32 |          6 |          8 |         46 |
| d:\code\math-content-recognition-\texteller\utils\pdf.py                                        | Python           |         91 |         53 |         31 |        175 |
| Total                                                                                           |                  |     16,296 |        862 |      1,253 |     18,411 |
+-------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
